X1,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Age,Answer.Education,Answer.Gender,Answer.Income,Answer.Party,Answer.Politics,Answer.comments,Answer.ethnic,Answer.origin,Approve,Reject,invite
1,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3WOKGM4L71GZ8TD3T721JRGA2NNO05,A105JP2QL49T1E,Submitted,Fri May 15 10:06:05 PDT 2015,Fri May 15 10:07:05 PDT 2015,Mon May 18 10:07:05 PDT 2015,NA,NA,NA,60,0% (0/0),0% (0/0),0% (0/0),19,"Some college, no degree",Male,8,No,5,NA,european,us,NA,NA,1
2,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3LBXNTKX0RV4YWF8UU8QVF8WHUJ9X2,A106VV3M8ZP6W3,Submitted,Fri May 15 09:09:15 PDT 2015,Fri May 15 09:10:15 PDT 2015,Mon May 18 09:10:15 PDT 2015,NA,NA,NA,60,0% (0/0),0% (0/0),0% (0/0),38,Bachelors degree,Female,5,Democrat,3,Hope to be selected. Thanks! :),european,us,NA,NA,0
3,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3NVC2EB65QZ7JZG2IHTINGCJJ82Y3F,A10MH2GE01BXXE,Submitted,Fri May 15 08:41:36 PDT 2015,Fri May 15 08:42:40 PDT 2015,Mon May 18 08:42:40 PDT 2015,NA,NA,NA,64,0% (0/0),0% (0/0),0% (0/0),19,"Some college, no degree",Male,6,Independent,5,NA,european|other,us,NA,NA,1
4,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3QUO65DNQUOFOFPJREGL8Y4HICSOU9,A10XYFXQYJKBXF,Submitted,Fri May 15 10:04:49 PDT 2015,Fri May 15 10:05:38 PDT 2015,Mon May 18 10:05:38 PDT 2015,NA,NA,NA,49,100% (12/12),0% (0/0),0% (0/0),63,"Some college, no degree",Male,3,Republican,6,NA,european,us,NA,NA,1
5,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3COPXFW7XBCJ6JW8C0PYRB09QP9KP6,A11LUY287K2MYF,Approved,Fri May 15 05:31:07 PDT 2015,Fri May 15 05:31:23 PDT 2015,Mon May 18 05:31:23 PDT 2015,2015-05-18 12:33:11 UTC,NA,NA,16,100% (9/9),100% (1/1),100% (1/1),29,Bachelors degree,Male,2,Independent,4,NA,european,us,NA,NA,1
6,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3QY5DC2MXRKLI2CQSBXVL4V3QAKFUV,A12702RT8H45H8,Approved,Fri May 15 05:35:19 PDT 2015,Fri May 15 05:35:50 PDT 2015,Mon May 18 05:35:50 PDT 2015,2015-05-18 12:38:15 UTC,NA,NA,31,100% (1/1),100% (1/1),100% (1/1),36,"Some college, no degree",Male,6,Democrat,2,NA,european,us,NA,NA,0
7,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3Z9WI9EOZZORT2YKTNHTI2YI4YBKHD,A12FCLCVIM2CL3,Submitted,Fri May 15 08:37:28 PDT 2015,Fri May 15 08:37:52 PDT 2015,Mon May 18 08:37:52 PDT 2015,NA,NA,NA,24,0% (0/0),0% (0/0),0% (0/0),30,Bachelors degree,Male,5,Other,0,NA,european,us,NA,NA,1
8,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3B1NLC6UGZWE4X0PM94JTJ8GJ98PGQ,A12N488WIO2Q8Y,Submitted,Fri May 15 09:59:23 PDT 2015,Fri May 15 09:59:44 PDT 2015,Mon May 18 09:59:44 PDT 2015,NA,NA,NA,21,100% (6/6),0% (0/0),0% (0/0),32,Bachelors degree,Male,3,Democrat,3,NA,european,us,NA,NA,0
9,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3SB5N7Y3O34BGGW55OPTEI78B0GG0S,A12YFNOJLHN9SG,Approved,Fri May 15 05:36:02 PDT 2015,Fri May 15 05:37:11 PDT 2015,Mon May 18 05:37:11 PDT 2015,2015-05-18 12:38:16 UTC,NA,NA,69,100% (1/1),100% (1/1),100% (1/1),21,"Some college, no degree",Male,1,Independent,4,NA,african,us,NA,NA,1
10,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,3FTOP5WARFOL7IM6DUAWBVZO3SZ0JI,A130SV8LCTUDYH,Approved,Fri May 15 05:40:36 PDT 2015,Fri May 15 05:40:58 PDT 2015,Mon May 18 05:40:58 PDT 2015,2015-05-18 12:43:14 UTC,NA,NA,22,100% (2/2),100% (2/2),100% (1/1),21,"Some college, no degree",Female,2,Democrat,2,NA,african,us,NA,NA,1
11,3KG2UQJ0MJO2RHLWJOR1UOB2SH6QN7,3X2GEGK7X20T6VWBWEA9DSXPVXX44N,Prestudy for a study on moral opinions,Provide some background information in order to qualify for a series of HITs,"survey, demographics, research",$0.05,Fri May 15 05:29:53 PDT 2015,500,BatchId:1944384;,600,259200,Fri May 22 05:29:53 PDT 2015,NA,NA,39ZSFO5CA8W1N4YMB1OG02NVJH2JU3,A139DFNZS0I9RB,Approved,Fri May 15 05:37:44 PDT 2015,Fri May 15 05:39:23 PDT 2015,Mon May 18 05:39:23 PDT 2015,2015-05-18 12:43:13 UTC,NA,NA,99,100% (1/1),100% (1/1),100% (1/1),29,"Graduate degree (Masters, Doctorate, etc.)",Male,3,Democrat,4,I really enjoy doing this survey. Thank you.,asian,in,NA,NA,0
