issue,question,opinion,arg,counter_arg,workerid,belief_publicopinion,collection,age,gender,politics,party,ethnic,origin
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0,141,NA,1,24,Female,2,Democrat,european|other,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,1|4,0|1|5,336,NA,1,54,Male,5,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,13,NA,1,38,Female,5,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4|0,327,NA,1,20,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,1,383,NA,1,35,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,304,NA,1,52,Female,4,Independent,european|other,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1|5,4|0,384,NA,1,47,Female,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1,0|4,413,NA,1,32,Female,0,No,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4|0,1,78,NA,1,39,Male,5,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|4|1|5,5,117,NA,1,24,Female,0,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,3|4|1|0,5|1,296,NA,1,28,Female,4,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,3,197,NA,1,27,Male,2,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,6,4,240,NA,1,36,Female,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,0|4,168,NA,1,27,Female,3,Democrat,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,173,NA,1,60,Female,3,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,0|1|4|3,1|3|5,361,NA,1,34,Male,7,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,6,NA,1,30,Male,0,Other,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|1|0|3,2|1|4|3,290,NA,1,34,Male,0,Other,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,6,4,30,NA,1,49,Female,6,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,1,278,NA,1,28,Male,6,Republican,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,1,5,154,NA,1,23,Male,3,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5,4,165,NA,1,31,Male,3,Independent,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,5|0|6,4,183,NA,1,34,Female,4,No,european,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,0,4,5,201,NA,1,42,Female,2,Democrat,hispanic,us
abany,Do you think it should be possible for a pregnant woman to obtain a legal abortion if the woman wants it for any reason?,1,0|5,3|4,213,NA,1,22,Male,4,Independent,european,us
